time,enrolled,available,waitlisted,total
2022-11-24T19:43:37,241,0,87,240
2022-11-24T19:53:01,241,0,87,240
2022-11-24T20:02:15,241,0,87,240
2022-11-24T20:11:29,241,0,87,240
2022-11-24T20:20:43,241,0,87,240
2022-11-24T20:29:57,241,0,87,240
2022-11-24T20:39:11,241,0,87,240
2022-11-24T20:48:24,241,0,87,240
2022-11-24T20:57:38,241,0,87,240
2022-11-24T21:06:53,241,0,87,240
2022-11-24T21:16:08,241,0,87,240
2022-11-24T21:25:23,241,0,87,240
2022-11-24T21:34:37,241,0,87,240
2022-11-24T21:43:52,241,0,87,240
2022-11-24T21:53:06,241,0,87,240
2022-11-24T22:02:20,241,0,87,240
2022-11-24T22:11:35,241,0,87,240
2022-11-24T22:20:49,241,0,87,240
2022-11-24T22:30:03,241,0,87,240
2022-11-24T22:39:17,241,0,87,240
2022-11-24T22:48:31,241,0,87,240
2022-11-24T22:57:45,241,0,87,240
2022-11-24T23:07:01,241,0,87,240
2022-11-24T23:16:17,241,0,87,240
2022-11-24T23:25:32,241,0,87,240
2022-11-24T23:34:47,241,0,87,240
2022-11-24T23:44:01,241,0,87,240
2022-11-24T23:53:15,241,0,87,240
2022-11-25T00:02:30,241,0,87,240
2022-11-25T00:11:45,241,0,87,240
2022-11-25T00:21:04,241,9,87,250
2022-11-25T00:30:19,241,9,87,250
2022-11-25T00:39:35,241,9,87,250
2022-11-25T00:48:51,241,9,87,250
2022-11-25T00:58:06,241,9,87,250
2022-11-25T01:07:23,241,9,87,250
2022-11-25T01:16:39,241,9,87,250
2022-11-25T01:25:56,241,9,87,250
2022-11-25T01:35:12,241,9,87,250
2022-11-25T01:44:36,241,9,87,250
2022-11-25T01:53:51,241,9,87,250
2022-11-25T02:03:08,241,9,87,250
2022-11-25T02:12:26,241,9,87,250
2022-11-25T02:21:42,241,9,87,250
2022-11-25T02:31:00,241,9,87,250
2022-11-25T02:40:15,241,9,87,250
2022-11-25T02:49:30,241,9,87,250
2022-11-25T02:58:45,241,9,87,250
2022-11-25T03:07:59,241,9,87,250
2022-11-25T03:17:15,241,9,87,250
2022-11-25T03:26:31,241,9,87,250
2022-11-25T03:35:47,241,9,87,250
2022-11-25T03:45:04,241,9,87,250
2022-11-25T03:54:21,241,9,87,250
2022-11-25T04:03:38,241,9,87,250
2022-11-25T04:15:58,241,9,87,250
